"","sp500","nasdaq","s.fin","s.tech","s.hc","s.energy","s.ind","s.cd","s.cs","s.util","s.mat","s.bio"
"2010-08-05",3685560000,2246300,50578900,5064800,4285100,8908700,20032500,6254900,18512500,3665300,7033200,355800
"2010-08-06",3857890000,2027400,101926500,15617100,8894200,18117400,13396300,6408600,8372000,6328500,8687800,824100
"2010-08-09",3979360000,2224500,49583400,13552800,4061700,6714200,8554800,6251300,3650800,4701100,6081000,335700
"2010-08-10",3979360000,2832600,81174900,11289300,8692600,12260500,15325000,8052500,7497000,9227700,12719400,463200
"2010-08-11",4511860000,2875300,117411900,18061500,13216600,18829700,33035000,7561500,9337600,9513000,17573600,275100
"2010-08-12",4521050000,3158700,88825600,15165800,9553700,15255400,16303800,8202200,6401100,6463900,11524000,220800
"2010-08-13",3328890000,2095000,64041200,6078800,4340300,9099700,8189100,5862900,4435400,5883500,6182800,202800
"2010-08-16",3142450000,2594100,68304400,10268600,4641300,10285700,10913000,5467000,5077000,8451500,6532500,4005600
"2010-08-17",3968210000,2164500,79810000,17100600,7183200,18017400,17148200,5899400,5242400,6969100,11973200,749700
"2010-08-18",3724260000,2366700,68372300,12616100,4410100,18693900,9109800,6262000,5379400,20505100,9785300,140400
"2010-08-19",4290540000,3161500,124471200,13811100,8736200,16499100,19386600,7904500,7941200,10088300,12747900,189600
"2010-08-20",3761570000,1645000,81137400,9316400,5606200,12424700,13057800,6498800,5856400,8124700,13961800,633600
"2010-08-23",3210950000,1232200,66239300,8183700,6570800,8175800,15057000,6399900,4149900,5508700,9449600,211500
"2010-08-24",4436330000,3504300,116123400,10590300,12112600,14738800,26300800,12281000,8426800,13737400,14872900,142200
"2010-08-25",4360190000,4487200,90747800,11052900,10713000,19336700,31736800,7461600,6542800,10684900,12780400,157500
"2010-08-26",3646710000,4101300,88256500,10154700,6566000,10976800,19824100,6274400,7530700,6860400,7478000,418200
"2010-08-27",4102460000,3540900,107590100,14991700,7200700,19708700,19744200,10502900,9874400,9926200,10366400,604800
"2010-08-30",2917990000,1782700,78521700,7593500,5835000,9156600,15607300,7018000,8007800,8389300,5064400,363300
"2010-08-31",4038770000,3952200,131233400,15520000,8756200,17578700,20418200,7439900,12423300,8936400,9565300,1271700
"2010-09-01",4396880000,2283600,163002400,14798100,10345200,19132900,31329300,8329800,9661500,8249900,12029200,808800
"2010-09-02",3704210000,1723100,82205000,9306500,6003300,9848700,13831600,9733000,6034900,6002000,6154600,253200
"2010-09-03",3534500000,2144500,108976100,10359000,6604700,13247100,15635200,7914800,5839700,5356200,7809600,382200
"2010-09-07",3107380000,1903200,69632900,7839400,3954000,11407000,15112700,5084200,6444100,4922800,6093000,318300
"2010-09-08",3224640000,2175800,63465500,9290800,6850700,9292200,12996100,4382000,5733200,4888900,5018200,486300
"2010-09-09",3387770000,1874700,100214200,6947600,6305700,7836700,10075600,5047900,4962900,5398200,4722900,334500
"2010-09-10",3061160000,2071100,48934700,8150300,5453100,7595300,10923700,5400000,4003400,6231700,5630900,239100
"2010-09-13",4521050000,1512200,93892600,11598700,5947100,9131600,12911800,4154700,5254000,4946000,12063300,200400
"2010-09-14",4521050000,1913200,81324600,9427200,8386700,13977900,14376800,6494500,8514700,5181500,8552700,615600
"2010-09-15",3369840000,1155200,91766300,7381700,4894200,14113000,14647100,5756800,6451300,5879900,6444300,228900
"2010-09-16",3364080000,1265400,65492600,7799800,4913900,16758800,17618900,6752500,6884700,5321700,12863700,417000
"2010-09-17",4086140000,1826100,80925000,14417700,6038900,14352900,16835100,6194500,10596900,9963900,8169700,354000
"2010-09-20",3364080000,2082700,64263000,9552600,5467800,19390900,16996000,5129900,6337100,5753100,8300400,171600
"2010-09-21",4175660000,1641300,103705400,18634600,7579700,16766500,23612800,13429200,13361500,7368600,16897600,401400
"2010-09-22",3911070000,2235900,114854100,8405800,5875600,16159000,20258000,7609700,5931300,8011800,10198300,201300
"2010-09-23",3847850000,2867400,127349600,9931300,8156800,12358400,17938700,10307200,8952000,6829400,7173000,107700
"2010-09-24",4123950000,2607400,94600200,8166300,5571100,24624500,17403000,6068100,4515900,4972600,8599600,200400
"2010-09-27",3587860000,1893900,76726300,15319100,4840600,10891500,10058400,10002500,3614000,9402800,5673200,165000
"2010-09-28",4025840000,1128000,101337700,14716000,5634600,16579600,19118100,7045300,5660100,5149500,8697400,215700
"2010-09-29",3990280000,1187500,82229600,6133500,7966300,21492900,12394700,4928800,5319700,4921900,9874900,263700
"2010-09-30",4284160000,2690800,132372900,13139300,8680300,23169800,23180400,8593500,8376000,11023200,10234700,243300
"2010-10-01",4298910000,2763700,162650700,12167700,8791700,20009900,13619600,7620900,5417900,6426800,7769200,158700
"2010-10-04",3604110000,1578200,105309000,8488000,6193600,14752700,14881500,6966800,6300800,4682500,13055600,424200
"2010-10-05",4068840000,1932100,163731100,7712900,6786200,21615800,15091600,8740900,5418200,4526200,13122700,206100
"2010-10-06",4073160000,1079100,79712600,7170000,5800000,14105100,13307400,5571700,4637500,4605700,6818300,219000
"2010-10-07",3910550000,1234300,88379100,4949700,6052000,13562800,9573800,4956500,4440400,3699500,9139900,266700
"2010-10-08",3871420000,1058800,76830000,6670600,3678600,15838800,12642400,6478100,4196400,3841200,7965100,152100
"2010-10-11",2505900000,1220700,50798100,6041000,2452400,8046000,7427400,4334600,3051600,3736100,5863600,127800
"2010-10-12",4076170000,1652200,81038000,11007300,3194600,16665100,12817500,4975500,5882500,4023400,7300500,89100
"2010-10-13",4969410000,2052000,138693000,15479500,3323600,14681400,27458300,5932100,8258800,4084100,7277200,445800
"2010-10-14",4969410000,1616800,208325400,5514600,5111500,11502800,11352700,4663400,3697300,4141600,8266600,322500
"2010-10-15",5724910000,1595900,163544100,21347000,5880600,15076800,17888500,7859500,6477400,5788100,12288700,275400
"2010-10-18",4450050000,2457300,96393800,10750600,7161000,10927200,8869900,6641200,4001300,4443300,6824600,113400
"2010-10-19",5600120000,2177200,180636300,25204700,8833000,19284200,21185500,10575600,5782300,8429700,15124900,425100
"2010-10-20",5027880000,1828600,118915700,23627300,5489400,12628600,17689100,7035100,4201000,3928000,10184800,1627500
"2010-10-21",4625470000,1602000,90587900,27646400,5983600,13413000,17234400,10736000,6328400,5888200,11122100,892800
"2010-10-22",3177890000,937200,50796300,5762600,4671900,6558800,11714700,4421300,4073800,4291900,8306800,338100
"2010-10-25",4221380000,2855600,56338900,9500000,6532600,11353200,12218800,6287900,5217900,5277400,11364000,2067000
"2010-10-26",4203680000,2044500,58349500,10317900,4005800,10687900,14680400,6215800,3878600,3889700,9329700,1766400
"2010-10-27",4335670000,2394500,77185100,11837300,5489900,12902400,15778300,6432900,8714300,6003800,12326400,695700
"2010-10-28",4283460000,2389400,71284200,8548100,5007000,11587800,13483400,7739500,6699200,5376300,10022100,193800
"2010-10-29",3537880000,2960800,49026500,8338600,6751200,9359200,9145200,6755500,6420600,4173400,6784900,360600
"2010-11-01",4129180000,1666700,80929700,8468900,6943700,12020600,9119800,6585200,7641400,7347200,8094300,171000
"2010-11-02",3866200000,2408400,67197800,7486900,5303500,10227500,8589600,7291300,3161300,4136100,11729500,594000
"2010-11-03",4665480000,2345900,133181200,15116400,8271300,22727400,16252000,8126100,8907700,8632500,17155000,570600
"2010-11-04",5695470000,2511800,204934600,13673500,7898400,19328500,17072300,9105100,9502100,8827600,10038200,308100
"2010-11-05",5637460000,2294200,203857400,8737700,10241400,14685900,12831400,6864600,6005300,5357400,10094800,292200
"2010-11-08",3937230000,1356700,110754300,7502100,7745100,11988700,10578000,3195000,8569600,3778500,7940900,189900
"2010-11-09",4848040000,2546900,150410700,9079800,7484100,20063800,10906400,4769900,6868900,9394600,11364400,69000
"2010-11-10",4561300000,1822500,149972100,7053000,6532400,17778300,11871200,6937700,8337200,7734900,9327800,121800
"2010-11-11",3931120000,1815700,73585100,12127700,5827800,18040700,9974800,15392700,6433600,4907600,9388700,293100
"2010-11-12",4213620000,1446200,109245200,10785400,6763900,17874300,14176900,9845300,8355900,7301000,17476700,136500
"2010-11-15",3503370000,1926600,88027400,8799600,4181900,10751300,17186800,5805400,4375700,3616400,9722000,132000
"2010-11-16",5116380000,2930000,166446400,17915400,12265400,23699800,25695300,17495600,6359000,9245900,19850000,638700
"2010-11-17",3904780000,1576100,111420000,10412900,5810200,16817800,15984900,9342100,9451600,5402800,13330900,323100
"2010-11-18",4687260000,1765200,105170100,10805200,5721600,16052500,18907900,10058200,5221500,4427400,14432900,327300
"2010-11-19",3675390000,1726900,53682900,5119900,5078100,11360800,11092400,6686500,3591300,4370500,9048900,325500
"2010-11-22",3689500000,1418300,119643800,9414200,7405200,18131500,8655600,6799900,4960900,4286300,11721500,492900
"2010-11-23",4133070000,2595200,104476200,11009400,9030600,22535000,14588600,9936300,5971800,6308000,13232600,141900
"2010-11-24",3384250000,2226200,72325000,7216200,5591000,22622600,11936700,9349900,4284000,3307800,7971600,61500
"2010-11-26",1613820000,1019000,39044800,2490000,2863600,6589400,5191000,2890700,2125500,1970700,4655700,27300
"2010-11-29",3673450000,2320100,101123000,7171000,7439200,14734400,8081700,8178700,4896900,6141000,12834800,327900
"2010-11-30",4284700000,4154700,94421000,10692800,8214800,19268800,14234300,11391200,9234200,5634600,15600600,217200
"2010-12-01",4548110000,4349500,102218900,10727300,8571300,19973800,16577100,8645500,6465600,5782500,12296000,298200
"2010-12-02",4970800000,4092700,139900000,9625600,5519300,17677600,12706300,7196200,9095500,9446200,9373800,585600
"2010-12-03",3735780000,3375800,111832200,9177400,7769400,10011700,10594000,6709100,5143900,5911400,7860000,291000
"2010-12-06",3527370000,1547400,64905300,6437800,5092200,11990200,16351000,10153600,4836500,4160400,4956400,284400
"2010-12-07",6970630000,2082400,131973500,9910600,6938200,22932400,19222200,7258700,8562400,9992400,10538500,243900
"2010-12-08",4607590000,2322900,119732200,9010900,5222000,12760200,18080400,5820600,4773600,8467100,11792100,110400
"2010-12-09",4522510000,2265300,95687200,6231300,3670300,10952400,10672900,4318800,3764700,6411300,11514100,332700
"2010-12-10",4547310000,2335400,69683800,5817000,5730100,8676100,9182700,4328200,3169500,4496800,5218700,1530900
"2010-12-13",4361240000,1717800,62184700,6901100,9561500,12884400,9198600,4547600,6420400,6372800,6415800,813000
"2010-12-14",4132350000,1046700,85879700,6291700,5587600,11514600,9619400,4322800,4649200,5067000,7113700,84300
"2010-12-15",4407340000,1760800,101531500,4598500,5816700,11116100,11470800,3943400,4278400,10642900,6694000,90600
"2010-12-16",4736820000,7971200,108179500,5935200,5071800,11025800,9357600,4485400,7167000,5598800,9246200,255600
"2010-12-17",4632470000,3539300,76205900,5978800,6012600,11322400,8233700,4896200,8089800,6159100,7193200,177000
"2010-12-20",3548140000,1834000,49879600,4769200,3241800,10234700,7327400,4300600,5229100,4995700,5340200,386100
"2010-12-21",3479670000,3419400,59296900,5557700,2946300,8701000,7127700,4485700,3154200,3207500,4805000,220500
"2010-12-22",1285590000,1503400,87852400,5407800,2646000,7855500,5748600,3302100,2306300,3389300,3163100,567000
"2010-12-23",2515020000,1411700,36235300,3228200,2874100,4526000,4177700,2288900,2979100,2873200,3871300,70200
"2010-12-27",1992470000,1003900,29735700,2991400,835200,4143200,3151000,3368300,1507700,2141600,2408800,76800
"2010-12-28",2478450000,1764000,42018700,2907500,1652600,5149100,3581300,3056900,1965800,1179100,3436100,1022700
"2010-12-29",2214380000,2195900,31035300,3734900,1990500,5532700,3893400,1867400,2494600,1854700,2569300,162000
"2010-12-30",1970720000,933700,45377600,5046000,3877200,5976700,4316100,2952200,3825000,2475700,3576300,145800
"2010-12-31",1799770000,878400,27080300,6352100,3908500,4444500,4004300,2212600,3625100,2171300,2424700,93600
"2011-01-03",4286670000,1358100,113566700,7427500,6877800,10195800,6400800,4254200,5257200,3536400,6055200,197700
"2011-01-04",4796420000,1960500,65761100,9191700,4161000,14542000,10059600,3657400,5187300,4981500,9489300,130200
"2011-01-05",4764920000,2215000,119644400,11835400,7962800,11286200,9908900,6155600,4492000,4595600,7797300,210000
"2011-01-06",4844100000,1959600,82408000,11044500,4966800,11449200,9881700,3691100,5437600,5707100,7769700,213600
"2011-01-07",4963110000,1773200,219266200,8915600,6199000,11080300,11827900,5417400,5449800,5092000,11564200,51300
"2011-01-10",4036450000,1501300,107038700,10333300,4481000,10804200,9419200,4562500,4478600,6355600,10489700,275700
"2011-01-11",4050750000,2067100,61620600,8391400,3356200,11365300,7217300,3151400,3442100,3186700,6604800,119100
"2011-01-12",4226940000,2005700,100785000,13577500,2886100,11026600,7173200,20994600,4488000,4189600,6979600,220200
"2011-01-13",4310840000,1877100,74704400,13043400,7414600,11521900,9859400,4640200,4779000,6799800,7299800,335700
"2011-01-14",4661590000,1441600,113359700,7853400,3907500,14005400,9937400,4588200,4092500,5501100,7919900,214800
"2011-01-18",5284990000,1497100,75478100,8633000,8160100,12535200,9008500,4013400,3321500,3594700,8238800,118200
"2011-01-19",4743710000,1728600,144544000,11215600,9936400,15117000,11443600,6316000,5164100,4821900,16011300,550800
"2011-01-20",4935320000,1843800,115484900,15358600,8811800,23172500,19478600,6698800,15486400,8609300,21857700,856800
"2011-01-21",4935320000,1646200,93333900,11631700,8079700,14574000,13339300,4287000,4508200,7605000,11453200,531300
"2011-01-24",3902470000,1481400,54863200,18491700,3711500,13098500,9585400,4842500,4953300,3661000,10493400,485400
"2011-01-25",4595380000,2090800,84937800,11013500,8002500,15817700,12919300,5713300,9109700,8516900,13190800,79500
"2011-01-26",4730980000,2474400,68221200,8285500,7671800,24221600,15748300,4859500,6028600,5554600,11199300,159600
"2011-01-27",4309190000,2178000,88248500,9046500,6871900,14988600,9505800,4361000,15259800,3504400,11235000,76800
"2011-01-28",5618630000,2189800,139244500,16181700,11096100,23691600,18193600,11102300,9732300,5662400,14292300,430500
"2011-01-31",4167160000,3345600,77839200,13986500,9021600,25114900,11530400,4939700,6825400,4012900,9979900,223200
"2011-02-01",5164500000,2871600,78635900,12372700,13051200,20443200,13750600,4844300,11645900,5293900,16032100,210000
"2011-02-02",4098260000,4412000,57381700,8747500,4627700,13557600,13112900,4005600,8204900,3145000,6178200,246600
"2011-02-03",4370990000,2973900,63619000,11464500,6316300,14515500,10043600,5515400,3302700,7417800,10827300,164400
"2011-02-04",3925950000,1896600,76650400,7567600,4380100,13278600,8689400,4876000,4630900,4927200,8104700,201600
"2011-02-07",3902270000,2144000,61790500,9798200,9145200,16173600,9793100,4140200,5262200,3722200,9180300,135300
"2011-02-08",3881530000,8567200,59912500,5188000,5160100,15596000,10042000,5743000,3620200,3741200,7710200,408000
"2011-02-09",3922240000,18263200,68776300,5187200,4933400,16321700,12441700,5755800,2587200,4290200,9666700,149700
"2011-02-10",4184610000,4572100,53665300,7838400,4383300,16805700,13896800,4508400,5789200,4245900,9011700,79500
"2011-02-11",4219300000,2613000,90898300,12749600,4341900,18862700,11181900,5155300,6764600,9252800,10075600,680700
"2011-02-14",3567040000,7339200,43128000,5941800,9054900,15215400,6367100,3527600,5829000,4134400,8574100,96300
"2011-02-15",3926860000,8249600,60650500,6042400,5502400,11443600,8727900,3015800,5229700,3225600,7201500,43200
"2011-02-16",1966450000,4725700,44080100,6786500,4256200,15903300,11612500,4626400,4122200,5413000,9790700,132000
"2011-02-17",1966450000,3378800,43641000,6648900,8772000,10796400,10252100,3303400,6706400,8173700,8253300,129000
"2011-02-18",1162310000,4431200,39684800,6334100,4583200,12408200,10110800,3688900,5524400,2978300,7334300,496800
"2011-02-22",1322780000,4775200,125808500,22346800,12072400,24832800,13824200,7699700,16824200,6011900,18530100,79200
"2011-02-23",1330340000,3764200,142391000,12255900,9817600,32189700,52702100,8957900,7403100,5414400,18820500,153000
"2011-02-24",1222900000,3255300,98899600,11331700,9063800,22383300,19511100,9447200,7415600,7087400,14226500,144900
"2011-02-25",3836030000,3157300,61174500,7802900,6129200,11768700,12152100,4290600,4049200,3946800,8353100,78300
"2011-02-28",1252850000,3142600,68170000,9252300,15415100,15873100,10364700,4881400,5388400,12299600,7957900,133500
"2011-03-01",1180420000,3326500,130762100,14544000,10264400,20199600,19055200,10040800,6715400,12154700,18089200,131400
"2011-03-02",1.025e+09,2057200,82293200,9927300,11750700,15042900,22821600,7406700,4991200,5759800,11219900,158700
"2011-03-03",4340470000,1553000,103454900,9558500,11733900,11328800,21478900,7589100,9047000,5779600,8708200,381900
"2011-03-04",4223740000,1757300,129134400,13890700,8793600,14123500,19858700,8189200,14030900,7324700,11551100,151800
"2011-03-07",3964730000,1988100,85241500,14804700,8359500,14663600,22908200,8304100,14737500,10796800,18296500,74700
"2011-03-08",4531420000,1517700,98070200,10963200,5795000,16174200,15960000,5376800,5786400,6719800,10475900,120600
"2011-03-09",3709520000,2113000,87131900,11863500,8000200,13594900,19656900,6951200,14802600,13098900,17642700,222000
"2011-03-10",4723020000,2120300,114185300,14795600,12703000,36160300,31661700,9614500,8262700,10841200,31006800,99600
"2011-03-11",3740400000,1408700,107898500,11382200,8004000,24170500,17054000,10659500,7341500,5020700,14691600,111000
"2011-03-14",4050370000,4023900,86120300,9614800,7608100,16415200,26080600,6653500,5810700,18960600,17597300,110400
"2011-03-15",5201400000,2895000,127169800,14894700,12855500,21809500,30467800,7486300,12900900,14233900,22869700,270300
"2011-03-16",5.833e+09,4696700,214034000,21381100,20826500,31614700,31432000,9524800,12979600,15299800,23385000,303000
"2011-03-17",4134950000,3500200,120224700,10933100,10301600,20915300,29099100,6198100,7932800,12011600,22428300,211200
"2011-03-18",4685500000,4008000,207386600,18415100,16696000,24164300,18417600,17804100,7203500,9093300,14906500,250200
"2011-03-21",4223730000,1912900,95996700,8900600,8783300,17162800,11446200,13363700,5906100,5086200,8467400,238800
"2011-03-22",3576550000,1386700,56765300,9139300,6413300,10012500,11715200,6730300,5466800,7267600,7586400,169200
"2011-03-23",3842350000,2129100,79906700,5835600,7349200,10095400,13553600,7459900,5380700,5621200,13160900,1927800
"2011-03-24",4223740000,1251400,76789700,10400600,10593600,15353100,17907900,5014600,5221000,6195400,11546500,145200
"2011-03-25",4223740000,1161600,55517200,6240100,5281100,11636900,13925100,3540700,4569200,3395200,10544900,92100
"2011-03-28",3215170000,1081300,39245200,8266100,3925300,14145500,9109400,9778000,6117000,4587900,11917600,66600
"2011-03-29",3482580000,2100600,46897200,5135800,4031500,16956400,10837300,6115000,3786100,5437600,9721800,192600
"2011-03-30",3809570000,2031900,75779900,6227300,5202600,19041200,14796000,7024700,10207700,5597400,15090200,1817700
"2011-03-31",3566270000,1715200,60843000,6216000,3280600,18850500,12774900,5549800,4585100,5494800,10524100,269400
"2011-04-01",4223740000,17990300,80709400,10937400,3929600,12911900,19057800,6024600,5194200,6166400,9264500,1046400
"2011-04-04",4223740000,5710600,47174800,5869800,4286700,7475600,10353200,2887200,2603500,3972300,7006600,257400
"2011-04-05",3852280000,4288600,47211300,9914200,4311300,19290400,14542800,4011600,4440800,4020500,9374700,501600
"2011-04-06",4223740000,5103900,81798200,10946600,3954000,16473700,13959500,7317500,6281100,3766200,15098700,1543200
"2011-04-07",4005600000,4883000,60873400,9150300,7031500,14810700,13420600,9894700,4327400,5337000,13067400,374100
"2011-04-08",3582810000,3897100,73274200,6367000,6907600,19139800,16274600,8505800,7281700,5951600,8651300,492300
"2011-04-11",3478970000,2953600,49493400,5796400,8928500,17682700,12334800,4786700,6793100,9345100,10367200,320400
"2011-04-12",4275490000,3388500,78789400,8053400,6200400,37937800,15018800,8986300,9857400,8529700,13355700,179400
"2011-04-13",3850860000,2319600,94654900,7222200,4442000,26834700,14807200,8066600,5309100,5294500,16085100,453000
"2011-04-14",3872630000,1402000,72457500,5507500,8316200,20672400,14015700,4114700,6516300,5779500,15790100,354300
"2011-04-15",4223740000,1562100,64317100,10171800,9761800,15263900,17703200,6455100,8840800,7151700,11341500,397800
"2011-04-18",4223740000,1383700,102992400,8813500,7603400,20034700,18507800,8995800,10006400,7145400,11247200,860400
"2011-04-19",3886300000,2341500,72236100,9963900,5456100,15054600,15654800,4465100,7268600,5657100,16125000,487200
"2011-04-20",4236280000,2669200,78296000,9224500,7116900,22414000,18107300,8607500,6796700,5863000,13227700,939000
"2011-04-21",3587240000,1231500,54159900,10148000,4828600,12638300,9687800,4312600,5639600,4045400,7664600,526800
"2011-04-25",2142130000,1312800,37023300,6259700,6363700,7075400,9685500,4211200,6384000,2505300,6054700,902700
"2011-04-26",3908060000,1398900,61796200,7200000,5800000,9199500,13200000,7e+06,6700000,5300000,8700000,261900
"2011-04-27",4051570000,1562600,69756000,8016900,8745300,18707100,15930800,6458000,7150800,6107300,13122100,654600
"2011-04-28",4036820000,1300000,53786200,8481800,5219400,14996200,17612900,6059100,5723200,6759400,13801600,459300
"2011-04-29",3479070000,1750800,30507700,7500000,11660100,9928600,17245700,10400000,16050400,8726200,13400000,3370800
"2011-05-02",3846250000,1352800,51127800,6707500,14846400,17762000,15333800,9338400,7724700,5549800,10242100,882000
"2011-05-03",4223740000,1701400,85342800,8151800,11291300,28745200,16555100,6639800,10287600,16419900,15244400,1871700
"2011-05-04",4223740000,2377300,112329800,10876900,9434600,29742100,28869800,10765700,11416400,8643200,21346100,603000
"2011-05-05",3846250000,2201000,103157800,13400000,11700000,44500000,34700000,8100000,1.7e+07,5700000,24905300,780600
"2011-05-06",4223740000,1639300,102177600,10634500,7405100,35202300,26364600,5854900,10133100,5737500,19613100,705900
"2011-05-09",4265250000,1449700,47858200,3944100,9030400,24224300,10785700,4275600,5193200,3917300,13376500,786600
"2011-05-10",4223740000,991800,69163200,13566000,7764600,17760300,15172600,5031600,7614800,8552400,12186600,483600
"2011-05-11",3846250000,1500000,97156100,11842400,13491000,41162800,21193700,4923700,7044700,4097900,18081600,629100
"2011-05-12",3777210000,1700000,78830600,10967700,7867600,38950900,18091100,7700000,10342400,5876300,18067900,552900
"2011-05-13",3426660000,1152200,82158700,10204100,10091200,35931900,20598400,5188400,6644100,6910100,19659200,621900
"2011-05-16",3846250000,9765700,89906200,16969400,7557200,28144100,17250800,8776800,11341900,8107700,19577100,1246500
"2011-05-17",4053970000,3392500,98470100,55050600,7397600,30099200,33836400,16339500,13613600,8552200,23207800,323100
"2011-05-18",3922030000,1632800,60153500,11957700,5666800,25846300,21985800,6408700,10312100,5449700,17608000,343500
"2011-05-19",3626110000,1591300,64194300,8118500,17052500,19660900,18019800,4277100,11084300,3193800,12805900,891300
"2011-05-20",4066020000,1358400,89394700,13429300,11701300,27046400,17170400,6408200,12311500,4472800,17787400,618300
"2011-05-23",3255580000,2e+06,93564900,12598400,27910000,20300000,25500000,5400000,7600000,6e+06,13300000,603600
"2011-05-24",3846250000,1750600,79566000,8765700,10177500,24830800,20280700,4824600,7352200,4458600,16593200,420000
"2011-05-25",4109670000,1165100,85723100,12408100,7239400,24917700,20894300,5647400,23021800,6245500,16079100,530400
"2011-05-26",3259470000,3318200,84613600,11132100,6576400,18745500,17458000,6675600,8423200,3799300,10166700,238500
"2011-05-27",3124560000,3736100,61971700,12554600,7043300,16697100,14888700,4265200,4347200,4500900,10602200,295200
"2011-05-31",4696240000,2174300,80145400,10672600,10185900,19311200,21659500,5988700,7570100,6378700,16057200,712500
"2011-06-01",4241090000,1773800,148857300,16627500,12042500,27613900,35595200,12634300,14211100,7165800,17749500,1037700
"2011-06-02",3762170000,1817200,165873100,10404900,7603400,24105300,32240700,7908200,11745700,6202300,20052200,1215000
"2011-06-03",3505030000,1315300,119706900,10777300,12026700,22377500,21335300,7262200,9226700,6092900,16479000,628800
"2011-06-06",3555980000,1578500,145434700,8436000,6513500,23437600,22799800,5193100,6439100,5297500,14293000,948900
"2011-06-07",3846250000,2073900,97768900,8791000,8211900,19165800,16404900,5010100,13196900,10129900,11510100,316200
"2011-06-08",3970810000,1326600,102198800,9993600,6631100,25056600,29280100,10020100,8355300,8009700,17467100,1990200
"2011-06-09",3332510000,2289100,73352300,5333500,6971000,17272000,20611200,5664900,5887500,5690100,17570400,950700
"2011-06-10",3846250000,1553900,181570100,10899200,17102600,20968500,23679800,9624300,10787000,8337700,15463200,571200
"2011-06-13",4132520000,1193800,117670700,11664900,10150700,27750600,22249700,9559200,10001000,5189700,13352000,645600
"2011-06-14",3500280000,1718100,104946600,9117200,8585800,22877700,20142100,9296900,10591800,7117000,18577800,319200
"2011-06-15",4070500000,1935800,188730600,16561700,15194100,35639900,28389000,19880100,24775100,7658200,23599700,385200
"2011-06-16",3846250000,2402800,165893200,9205900,10648300,25263900,25782000,8533900,10211000,8250900,26344200,472500
"2011-06-17",4916460000,1515400,100420100,19947900,16765100,27123800,28587900,10330900,13061200,7628200,19191200,1202400
"2011-06-20",3464660000,842300,66083600,8727100,8445200,17361300,15241400,5102500,8469200,4195100,15561600,2117700
"2011-06-21",4056150000,1490600,95554200,14340900,12641600,23195500,20737900,12653600,12758400,5121200,14753100,444900
"2011-06-22",3718420000,1020300,106150200,11046200,7622800,18549900,14254500,7569600,9302800,5110000,13430400,374700
"2011-06-23",4983450000,3158200,127233600,12575200,19458700,45453600,22866400,12552300,18618400,9553000,17765800,537000
"2011-06-24",3665340000,1955300,91530500,11760600,11042000,17065700,12507900,9967100,8765000,5191000,12763500,464400
"2011-06-27",3479070000,1389100,61283400,11981000,6268200,19694200,11199400,5412800,5039000,3643800,10117600,249600
"2011-06-28",3681500000,1517000,58644500,8059400,9300200,15857800,13263900,14877600,19095900,5749500,10366300,621000
"2011-06-29",4347540000,2883200,111616000,8282800,6541700,21321400,19847200,12873300,9806900,5926900,14442800,552000
"2011-06-30",4200500000,2714400,92703700,9098500,11835800,19417400,18578500,9225700,10175700,4463000,12379600,375300
"2011-07-01",3796930000,1932300,77714900,11451300,10374800,14888400,23998200,9654700,8450300,9083900,13441400,535200
"2011-07-05",3722320000,1512000,100972000,8155900,6410500,15683500,19248800,11837800,7251600,5956600,10540500,930900
"2011-07-06",3564190000,2456500,66252100,6758600,6899800,10965300,19802800,5560500,8706200,4042700,14636900,367200
"2011-07-07",4069530000,2537200,55920300,13009100,7400100,17824000,30538300,7872000,7479900,7832300,11570600,491400
"2011-07-08",3594360000,1497500,76580800,11954200,6741200,17130000,21673800,6181300,5743600,5926900,11371600,230700
"2011-07-11",3879130000,2365600,107713400,11690700,11117200,19144500,20456200,9967800,8308600,7473900,11561900,493800
"2011-07-12",4227890000,1772800,79766700,9430900,5988800,20545700,31263100,9494900,5628600,6081400,8535100,153600
"2011-07-13",4060080000,1178000,105923300,5580100,8597100,20163000,15477200,6116000,5897100,4458400,10295500,619800
"2011-07-14",4358570000,1278400,150775500,10747700,9443600,22632900,20189500,6053900,6827100,7400100,10807400,513300
"2011-07-15",4242760000,1451500,132402700,14235400,9994600,27367100,17199600,15668000,10520300,6034400,13431400,408000
"2011-07-18",4118160000,2074500,137133200,8380600,8569400,20361900,17277300,6023900,5921500,6536700,16139200,311700
"2011-07-19",4304600000,2293500,134575500,12320400,9930600,19557300,15177900,8481500,8400700,8017200,9541600,614100
"2011-07-20",3767420000,1626400,118538400,5926800,6808400,10517800,9926400,4986900,3812600,3627600,6823400,448800
"2011-07-21",4837430000,2077400,189235800,11212200,14621500,17357000,18054300,6940100,6894500,7551100,9748100,846000
"2011-07-22",3522830000,1014500,60323300,6315000,7642700,11499600,20127000,4104600,8006300,4430400,7226400,696000
"2011-07-25",3536890000,1831000,78466500,5902800,6821100,15483200,13278600,3973900,5910100,4885500,5525200,437400
"2011-07-26",4007050000,1586800,113040600,8329400,8696700,16968900,24912000,4969800,5398600,4823100,7172100,479700
"2011-07-27",3479040000,3952200,151973300,13465700,13037300,23784500,42181100,9608400,7625400,13818500,15963900,791400
"2011-07-28",4951800000,2551200,80068000,10704600,13788400,19554000,32606300,6673100,6844200,5639100,10046100,570900
