"","djia","nasdaq","sp500","s.bio","s.cd","s.cs","s.energy","s.fin","s.hc","s.ind","s.mat","s.tech","s.util","gold.p","oil","usd","vix","brazil/us","canada/us","china/us","jap/us","mexico/us","skorea/us","swiss/us","us/euro"
"2008-05-09",-0.00944071392459759,-0.0216894859952736,-0.00674816608368589,0.00192442088089527,-0.00588314393633585,-0.00573063896105896,-0.0018856951435777,0,-0.000952636087660736,-0.00625650091812981,-0.0125785590781149,-0.00325993482475604,0.00325218105020268,0.0170507114597225,0.0173805985086657,-0.00494740884189318,0.000515331111636439,0.00534601807836156,-0.00860922639755422,-0.00177299940637586,-0.00831404634411802,0.00346860599094337,0.00335812260889501,-0.00744917970456265,0.00246305543239759
"2008-05-12",0.0101811068172415,-0.000783254918633881,0.0109604924673658,0.0130221507407848,0.0202895116304087,0.0110736101351582,-0.00555974134556033,0.0118571088280215,0.00759730345352212,0.0158259734303247,0.0202758457310723,0.0161945253452766,0.00969330729888975,-0.00536800271915398,-0.0153627601388647,-0.00225976364422979,-0.0871518955031751,-0.0125187924051084,-0.00248768723746352,7.15527666183915e-05,0.00792887541976052,-0.00803591018629438,-0.000958313441811591,0.00105389231311443,0.00574510181685511
"2008-05-13",-0.00343311048948543,-0.0150024680322182,-0.000384745357492044,0.00258425937910619,0.00364536796148411,-0.00355905595996907,0.0162371614385764,-0.00916758365777854,-0.00950575825580248,0.00667028972619771,0.0056225171130402,0,-0.00148538223102853,-0.00625179643526875,0.0144889466821447,0.00131952112773685,0.0106235273657305,-0.00420800140020519,-0.00409325185895725,0.000114473778475153,0.00557050998665649,0.000143044463231134,0.00382775586976447,0.00449052491079409,-0.00173941097165341
"2008-05-14",0.00514564362907713,-0.00159231448342895,0.00399758319761043,-0.000516573016488799,0.011156581435499,0.00391379154533515,-0.0115038441981169,0.00688372350226599,0.00824356762651624,0.00102228031233564,0.00559077270790771,0.0020063127812064,0.0037086047840433,-0.0160923012887551,-0.0129581080477742,0.00350836058375594,-0.0179578338676603,0.00108374988029207,0.0021984619627192,0.00144410551337156,0.00753784400159047,0.000143024004439109,0,0.00646144399321872,-0.00271177852131309
"2008-05-15",0.00728286053535783,0.0089902421324671,0.0105288411205421,0.00395200676266411,0.00954937663196352,0.0120016291156701,0.0131367811990273,0.00985944770291117,-0.00284593727979312,0.00585775959654085,0.0113093053612133,0.0190556403900381,-0.000987773838115825,0.00375885942068511,0.000321983420635686,-0.00259629839317018,-0.0801370873630972,-0.00603574985426434,-0.00219846196271907,-0.000671750077071005,-0.00562415094794,-0.00205196798396041,-0.00382775586976444,-0.00256057800296447,0.00161503959650297
"2008-05-16",-0.000451125627659925,-0.0129822454394834,0.00124961759569787,0.00171297025222579,-0.00685459836215462,-0.000350870593495834,0.0358219354726232,-0.00415943588707301,0.00379271075995131,-0.0025428318997994,0.0122735868345909,-0.00236217981468535,0.00738411008819461,0.0214140945038166,0.0179466431908368,-0.0056605897634516,0.0103754363768322,-0.00534176333934854,-0.00300571311349308,-0.000901139358521424,-0.0071953109394966,-0.00354118186006572,-0.00576924677124509,-0.00791271586438486,0.00637006304190885
"2008-05-19",0.00317971158500691,-0.0333499003871656,0.000897642405961731,-0.00394511878914407,0.000299305402955683,0.00560026088011186,0.00616433378467771,-0.00951804985886399,0.00628951742016268,0.0111394562740199,-0.00261725539691695,0.00511108414237836,0.011216838280828,0.0264823838397996,0.00512518370055369,0.00214874852300587,0.0322608622182217,0.00243161214037218,-0.00523140026083072,-0.00257916749937776,0.00662158745846971,-0.00528720289591905,0.00384986038544149,0.00924124139666271,-0.00482207511669364
"2008-05-20",-0.0154298791102806,-0.0310816976753778,-0.00931685691055672,0.000344115130942392,-0.0156678504457785,-0.0151225994227886,0.00989478540058306,-0.0236130522979181,-0.00282538856706399,-0.0159881648620358,0.00522713246127071,-0.0158109638164161,0.00676665362568127,-0.00192757873259251,0.0139021295546176,-0.00646299305155717,0.0329604858492604,0.00418068408610719,0.00141114830392405,0.000358615747074568,-0.00854911311308212,0.00207014492725002,0.00574714225556807,-0.0161563669165951,0.00968483983362919
"2008-05-21",-0.0178920355264168,-0.0634017990643462,-0.0161837861981752,-0.0254016739275595,-0.0214863278379151,-0.0103293322077934,-0.0149353580706377,-0.0257897497277687,-0.00884146046079795,-0.01702818738935,-0.0297674558313458,-0.0266465687137956,-0.00507090526320371,0.0196512873972885,0.0310043160023256,-0.00592506145768873,0.0558619094763217,-0.00236084736912132,-0.00890333683814407,-0.00190931530831303,-0.00309178990252191,-0.00303446515626906,-0.00767021977130941,-0.00764285633952903,0.00667962660403058
"2008-05-22",0.00193682892423057,-0.00212330692442329,0.00261395959509615,0.0169479629140861,-0.00435328396510921,0.0106835592735494,-0.0147062927626669,0.00561106082664586,0.010725602661175,-0.00234490334440106,-0.00448591560196087,0.00367553977589365,0.00579277308095744,0.00350735554476434,-0.0224318419893674,0.00329444851589915,-0.0294781169544627,0.00381091106348245,0.00213187228603005,-0.00247460777159938,0.00665479622376523,0.00183141407399131,0.00480077734335673,0.00261869118175364,-0.00438443911256391
