"","djia","nasdaq","sp500","s.bio","s.cd","s.cs","s.energy","s.fin","s.hc","s.ind","s.mat","s.tech","s.util","gold.p","oil","usd","vix","brazil/us","canada/us","china/us","jap/us","mexico/us","skorea/us","swiss/us","us/euro"
"2008-05-09",-0.00944071392459759,-0.0216894859952736,-0.00674816608368589,0.00192442088089527,-0.00588314393633585,-0.00573063896105896,-0.0018856951435777,0,-0.000952636087660736,-0.00625650091812981,-0.0125785590781149,-0.00325993482475604,0.00325218105020268,0.0170507114597225,0.0173805985086657,-0.00494740884189318,0.000515331111636439,0.00534601807836156,-0.00860922639755422,-0.00177299940637586,-0.00831404634411802,0.00346860599094337,0.00335812260889501,-0.00744917970456265,0.00246305543239759
"2008-05-16",0.018725374864531,-0.0213700407412974,0.0263517890237244,0.0207548141182922,0.0377862392972008,0.0230791042426985,0.0481322925665495,0.015273260488347,0.00728188630439395,0.0268334711655995,0.0550720277478245,0.0348942987018359,0.0183128661019835,-0.0025391465186763,0.00443670510697827,-0.00568877008935889,-0.16424785299137,-0.0270205571186344,-0.00958665220991389,5.72426228727691e-05,0.00821776752057072,-0.0133429915626502,-0.00672756021305664,0.00153256734977821,0.00927901496230057
"2008-05-23",-0.0398357419280815,-0.10921979417931,-0.0352874753892612,-0.0181367825179567,-0.053435974723021,-0.014495717146173,-0.0307083238131308,-0.0682081360576009,-0.011102407022189,-0.0386707010552046,-0.0454528087448355,-0.035711367976805,0.00318283720615999,0.0412286914688556,0.039372723490277,-0.0101892005859411,0.171434742241826,0.00727716977389522,-0.0083631904651661,-0.00671972203759852,-0.00618120569559179,-0.00340944890764914,0.00816331063916084,-0.0205973534208222,0.0123029440258998
"2008-05-30",0.0126357534269143,0.0410838384993211,0.0176137265627489,0.0439895233316423,0.019059983375813,0.0144957171461729,-0.00301843349781582,0.00445231050613121,0.0230185678136929,0.027406045636599,0.0144834195604302,0.0349226087973627,0.0097297494371456,-0.0474627722991721,-0.0326758302323859,0.0117566289867506,-0.0920928545563258,-0.0181701236975916,0.00554968378608202,-0.000172895715498497,0.0214691013817426,-0.00632134708053543,-0.0163938097756764,0.0184894672326612,-0.0142932499700687
"2008-06-06",-0.034493741506826,-0.0761963731022457,-0.0287590174573804,-0.010058761142275,-0.0330371227453807,-0.0191360839052357,0.000232147125732207,-0.0594888905509351,-0.0207881350928835,-0.0482626374251003,-0.00766808706780267,-0.0251661540738401,-0.0188156361683558,0.00453772758213817,0.0840033237615412,0.00269018668568511,0.278667926908337,0.000553624718105127,0.0247466044278003,-0.00245257282282487,-0.00123345525387312,0.00376866658542236,0.00194269123750183,-0.0182940784082803,0.0109297690901222
"2008-06-13",0.00795691789953715,-0.0049412335541246,-0.000477834824393526,-0.0243893821822424,0.0146076933781768,0.00606413720477949,0.00672051704741419,0.00214066375103396,-0.0179837889928194,0.0002701395747053,0.00834185103184441,-0.0105736124336785,0.018331546399161,-0.0223185229556955,-0.0268536348211472,0.0182587270417541,-0.104606225597549,0.00337661861172643,0.00928239602538357,-0.00269031216549128,0.02429193305105,-0.000144686392497221,0.0130153681120702,0.0239370564162494,-0.0233458623741123
"2008-06-20",-0.0384858452888003,-0.0635896449469264,-0.0314444147819244,0.0116185681455385,-0.0527974637349788,-0.0333504863873346,-0.00722668673583092,-0.0438675703717935,-0.0236078953691627,-0.0260477921011987,-0.0208972868710256,-0.0266070566118752,-0.00774402214883407,0.0408219945202552,-0.00044507084778903,-0.0122349429463001,0.0748818748488527,-0.0184331315538216,-0.0106576418217016,-0.00359837881019681,-0.00464382742218719,-0.00901168889348907,-0.0120454359312776,-0.0134423531563769,0.016648768108297
"2008-06-27",-0.0428005919405193,-0.0693228936429592,-0.0304687096063309,-0.00224644357263836,-0.0467742238002871,-0.0193891523679408,0.0173416777927822,-0.0753576341500978,0.0082990913198452,-0.0632396594331771,-0.0356343523510022,-0.0347001895563293,-0.0233842843725892,0.0252344711785414,0.0357818622213885,-0.00785978720985328,0.024617956674122,0.00124781648334642,-0.00522348795229188,-0.00259071273026401,-0.0106692635857005,0.00268292132586303,0.00988793779125625,-0.0136255149356982,0.00784067761789106
"2008-07-03",-0.00512215583742986,-0.125681842298476,-0.0121829725891342,0.0166427508068148,-0.0197675038773006,0.00413290228119353,-0.0273034024674478,-0.0311055117502864,0.00823043253613685,-0.0086427623984113,-0.0602518848234315,-0.026055915868179,0.0162282628234253,0.0179846479414353,0.0394437095931449,0.00498465802913197,0.0555929114921844,0.00143306669592344,0.00826613642024543,-0.0012978776421397,0.00478716829184109,0.00661811942149663,0.00263631069405774,0.00664129797231858,-0.00260673447668044
"2008-07-11",-0.016794296035136,-0.0247627514685737,-0.0187106860503998,0.0395344994737845,-0.045959981880883,0.00970156004289772,-0.0371971201435828,-0.0652742252895915,0.0104370394908701,-0.00962450045587872,-0.000760401390460891,-0.0058332822181109,0.00197904664143532,0.0097949161656405,-0.00241154903793521,-0.00961787095062003,0.103785425976158,-0.00193200645929869,-0.0109376860228424,-0.00279103252045607,-0.00610531178370496,-0.00590000744280659,-0.0432383470054855,-0.00919231976392397,0.0120231784351577
